Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
50001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50002;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50003;397.0;1990.0;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;Flandre Occidentale;GE;GE-Infinia Hawkeye;;
50004;124.0;1920.0;ST.-JOZEFSKLINIEK;Izegem;Flandre Occidentale;GE;GE-Infinia Hawkeye;;
50005;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;SIEMENS-Symbia T;;
50006;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50007;49.0;1930.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Ostende;Flandre Occidentale;Siemens;Symbia T;;
50008;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;;
50009;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Liège;Philips;PHILIPS-BrightView-XCT;;
50010;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Infinia Hawkeye;;
50011;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Discovery NM/CT 670;;
50014;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;;
50015;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50016;43.0;1730.0;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMENS-Symbia T;;
50017;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;GE;GE-Discovery NM/CT 670 ;;
50018;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS-Symbia T;;
50019;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50021;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;GE;GE-Optima NM/CT 640;;
50022;23.0;2860.0;CLINIQUE ANDRE RENARD;Herstal;Liège;GE;GE-Discovery NM/CT 670 Pro;;
50023;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS-Symbia T;;
50024;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;GE;GE-Infinia Hawkeye;;
50025;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;GE;GE-Discovery NM/CT 670 Pro;;
50026;102.0;2080.0;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Anvers;Siemens;SIEMENS-Symbia Intevo ;;
50027;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Infinia Hawkeye;;
50028;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50029;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;Siemens;SIEMENS-Symbia T;;
50030;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;GE-Infinia Hawkeye;;
50031;534.0;2810.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;GE-Infinia Hawkeye;;
50033;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Philips;PHILIPS-BrightView-XCT;;
50034;550.0;1680.0;A.Z. GLORIEUX;Ronse;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50035;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50036;308.0;1250.0;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Anvers;GE;GE-Discovery NM/CT 670 ;;
50037;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;Flandre Occidentale;GE;GE-Discovery NM/CT 670 ;;
50039;204.0;1460.0;ALGEMEEN ZIEKENHUIS JAN PORTAELS;Vilvoorde;Brabant Flamand;GE;GE-Discovery NM/CT 670 ;;
50040;682.0;1210.0;A.Z. MONICA;Anvers;Anvers;GE;GE-Infinia Hawkeye;;
50041;249.0;3160.0;CENTRE DE SANTE DES FAGNES;Chimay;Hainaut;Philips;PHILIPS-BrightView-XCT;;
50042;170.0;1660.0;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Flandre Orientale;Siemens;SIEMENS-Symbia T;;
50043;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Siemens;SIEMENS-Symbia Intevo ;;
50044;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Philips;PRECEDENCE;;
50045;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;;
50046;310.0;1980.0;AZ WEST;Veurne;Flandre Occidentale;GE;GE-Infinia Hawkeye;;
50047;718.0;3130.0;C.H.U. CHARLEROI;Charleroi;Hainaut;GE;GE-Optima NM/CT 640;;
50048;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;Philips;PHILIPS-BrightView-XCT;;
50050;168.0;3240.0;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;GE;GE-Infinia Hawkeye;;
50051;166.0;3290.0;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;Siemens;SIEMENS-Symbia T;;
50052;99.0;1290.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;Philips;PHILIPS-BrightView-XCT;;
50058;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50059;412.0;3410.0;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;GE;GE-Discovery NM/CT 670 ;;
50060;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Siemens;SIEMENS-Symbia T;;
50061;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Brabant Flamand;Siemens;SIEMENS-Symbia Intevo ;;
50062;176.0;1800.0;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;Siemens;SIEMENS-Symbia T;;
50063;409.0;3350.0;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Hainaut;Siemens;SIEMENS-Symbia T;;
50064;109.0;1370.0;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Brabant Flamand;Siemens;SIEMENS-Symbia T;;
50065;109.0;1380.0;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Aarschot;Brabant flamand;GE;GE-Infinia Hawkeye;;
50066;164.0;3230.0;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;GE;DISCOVERY VH CT HAWKEYE;;
50067;164.0;3230.0;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;GE;GE-Discovery NM/CT 670 ;;
50068;164.0;3720.0;VIVALIA - IFAC;Bastogne;Luxembourg;GE;GE-INFINIA HAWKEYE GP3;;
50069;87.0;1560.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Ixelles;Région de Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50070;87.0;1540.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Anderlecht;Région de Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50071;87.0;1550.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Forest;Région de Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50072;217.0;1900.0;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50073;217.0;1900.0;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;GE;DISCOVERY VH INTEGRATED SYSTEM ENTEGRA;;
50074;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50075;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50076;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Discovery NM/CT 670 Pro;;
50077;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Brabant Flamand;Siemens;SIEMENS-Symbia T;;
50078;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;;
50081;723.0;1760.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Philips;PHILIPS-BrightView-XCT;;
50082;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;;
50083;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Région de Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50084;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Région de Bruxelles-Capitale;GE;GE-DISCOVERY NM/CT 570C;;
50085;68.0;2870.0;CENTRE HOSPITALIER REGIONAL DE HUY;Huy;Liège;GE;GE-Discovery NM/CT 670 ;;
50086;17.0;1605.0;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-Symbia T;;
50087;17.0;1605.0;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-Symbia Intevo ;;
50088;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namur;GE;GE-Discovery NM/CT 670 ;;
50090;266.0;2710.0;CHR MONS - HAINAUT;Mons;Hainaut;GE;GE-Infinia Hawkeye;;
50091;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Hainaut;GE;GE-Infinia Hawkeye;;
50092;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;GE;GE-Discovery NM/CT 670 ;;
50093;7.0;2790.0;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Hainaut;GE;GE-Discovery NM/CT 670 ;;
50094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50096;707.0;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;SIEMENS-Symbia T;;
50097;707.0;2840.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;Siemens;SIEMENS-Symbia T;;
50098;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;GE-Discovery NM/CT 670 Pro;;
50099;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50100;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Infinia Hawkeye;;
50101;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;Siemens;SIEMENS-Symbia Intevo ;;
50104;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-BrightView-XCT;;
50105;265.0;1650.0;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;;
50106;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Discovery NM/CT 670 ;;
50108;111.0;1420.0;EUROPAZIEKENHUIZEN V.Z.W.;Etterbeek;Région de Bruxelles-Capitale;GE;GE-Infinia Hawkeye;;
50110;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limbourg;Siemens;SIEMENS-Symbia T;;
50111;9.0;2000.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Philips;PHILIPS-BrightView-XCT;;
50112;96.0;3220.0;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Siemens;SIEMENS-Symbia T;;
50113;406.0;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Philips;BRIGHTVIEW XCT;;
50116;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-Symbia T;;
50117;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;GE;GE-Discovery NM/CT 670 ;;
50119;77.0;1570.0;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;;HUDERF
50121;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo ;;
50122;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;GE;GE-Infinia Hawkeye;;
50123;;;MEDINUCLEAR;Molenbeek-Saint-Jean;Région de Bruxelles-Capitale;GE;GE-Optima NM/CT 640;;
50124;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;GE;GE-DISCOVERY NM/CT 670 CZT;;
50125;6.0;3300.0;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namur;Namur;Philips;PHILIPS-BrightView-XCT;;
50126;9.0;3360.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Merksem;Anvers;GE;GE-Discovery NM/CT 670;;
50127;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant Flamand;Siemens;SIEMENS-Symbia Intevo ;;
50128;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;GE;GE-Discovery NM/CT 670 Pro;;
50129;346.0;1710.0;CENTRES HOSPITALIERS JOLIMONT;Nivelles;Brabant wallon;GE;Infinia Hawkeye;;
50130;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;Tandem Discovery 670 Pro;;
50131;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;SIEMENS-Symbia Intevo ;;
50132;325.0;2750.0;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Hainaut;GE;Optima;;
50133;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;;
50134;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre Orientale;GE;DISCOVERY 670 NM/CT PRO;;
50135;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limbourg;Siemens;SIEMENS-Symbia Intevo 6;;
50136;20.0;3010.0;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;GE;GE-Discovery NM/CT 670 Pro;;
50137;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;GEHC;Discovery 670 NM/CT ES;;
50138;332.0;6140.0;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;;
50139;332.0;6140.0;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;GE;GE-Discovery NM/CT 670 ;;
50140;392.0;6160.0;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;Flandre Occidentale;GE;GE-Optima NM/CT 640;;
50141;99.0;2020.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;GE;GE-Discovery NM/CT 670 ;;
50142;76.0;1500.0;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Région de Bruxelles-Capitale;GE;NMCT DISCOVERY 870DR;;
50143;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-BrightView-XCT;;
50144;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;Symbia Intevo 16;;
50145;15.0;2850.0;HOSPITAL ST.-NIKOLAUS;Eupen;Liège;GE;GE-Infinia Hawkeye;;
50146;26.0;6170.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Anvers;GE;GE-Discovery NM/CT 670 ;;
50147;168.0;3240.0;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;GE;DISCOVERY D870 CZT;;
50148;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;GE;INFINIA HK4;;
50149;12.0;3460.0;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;GE;DISCOVERY / CT 870 CZT;;
50150;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Siemens;Symbia Intevo Bold;;
50151;724.0;1910.0;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;GE;Discovery NM/CT 850;;
50152;104.0;2060.0;AZ RIVIERENLAND;Bornem;Anvers;GE;Discovery 670DR;;
50153;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Siemens;Symbia Intevo Bold;;
50154;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;GE;DISCOVERY 870 CZT;;
50155;332.0;6180.0;CHIREC - DELTA;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;;
50156;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Siemens;Symbia Intevo Bold;;
50157;264.0;3260.0;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namur;Mediso;MEDISO-AnyScan SC;;
50158;176.0;1820.0;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Grammont;Flandre orientale;Siemens;Symbia Intevo Bold;;
50160;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;GE;Discovery 870DR;;
50161;7.0;2790.0;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Hainaut;GE;GE-NM/CT 860 ;;
50162;158.0;2970.0;GROUPE SANTE CHC;Verviers;Liège;GE;GE NM/CT 870DR;;
50163;20.0;3010.0;CHR VERVIERS - EAST BELGIUM;Verviers;Liège;GE;NM/CT Discovery 870;;
50164;77.0;1570.0;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-Symbia Intevo bold;;HUDERF
50165;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo ;;
50166;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre Occidentale;Siemens;SIEMENS-Symbia T;;
50167;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre Occidentale;Siemens;Symbia Intevo Bold;;
50168;152.0;6200.0;GROUPE SANTE CHC;Liège;Liège;Philips;PHILIPS-BrightView-XCT;;
50169;152.0;6200.0;GROUPE SANTE CHC;Liège;Liège;GE;NM/CT 870 DR;;
50170;152.0;6200.0;GROUPE SANTE CHC;Liège;Liège;GE;NM/CT 870 DR;;
50171;536.0;2090.0;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Anvers;GE;Discovery NMCT 870 DR;;
50172;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-NMCT870DR;;
50173;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo Bold;;
